timestamp,device_id,data_category,min_value,avg_value,max_value
1740787200,661,14211,1.0,1.0,1.0
1740787200,661,14215,0.0,0.0,0.0
1740787200,661,14221,12.4,12.5,12.7
1740787200,661,14223,60.0,61.5,62.5
1740787260,661,14211,1.0,1.0,1.0
1740787260,661,14215,0.0,0.0,0.0
1740787260,661,14221,12.4,12.6,13.2
1740787260,661,14223,58.5,59.5,60.1
1740787320,661,14211,1.0,1.0,1.0
1740787320,661,14215,0.0,0.0,0.0
1740787320,661,14221,11.0,11.5,12.2
1740787320,661,14223,57.5,58.8,60.3
1740787380,661,14211,1.0,1.0,1.0
1740787380,661,14215,0.0,0.0,0.0
1740787380,661,14221,10.5,11.1,11.3
1740787380,661,14223,58.5,59.7,61.2
1740787440,661,14211,1.0,1.0,1.0
1740787440,661,14215,0.0,0.0,0.0
1740787440,661,14221,10.8,11.2,11.6
1740787440,661,14223,62.8,63.6,64.8
1740787500,661,14211,1.0,1.0,1.0
1740787500,661,14215,0.0,0.0,0.0
1740787500,661,14221,12.5,13.2,14.1
1740787500,661,14223,57.4,59.3,59.8
1740787560,661,14211,1.0,1.0,1.0
1740787560,661,14215,0.0,0.0,0.0
1740787560,661,14221,11.6,11.9,12.6
1740787560,661,14223,57.8,59.7,60.5
1740787620,661,14211,1.0,1.0,1.0
1740787620,661,14215,0.0,0.0,0.0
1740787620,661,14221,12.3,12.8,13.1
1740787620,661,14223,57.3,58.6,59.6
1740787680,661,14211,1.0,1.0,1.0
1740787680,661,14215,0.0,0.0,0.0
1740787680,661,14221,12.2,12.7,13.0
1740787680,661,14223,62.9,63.3,66.6
1740787740,661,14211,1.0,1.0,1.0
1740787740,661,14215,0.0,0.0,0.0
1740787740,661,14221,11.6,12.1,13.2
1740787740,661,14223,60.5,62.5,62.9
1740787800,661,14211,1.0,1.0,1.0
1740787800,661,14215,0.0,0.0,0.0
1740787800,661,14221,10.7,11.3,11.5
1740787800,661,14223,58.8,59.9,60.2
1740787860,661,14211,1.0,1.0,1.0
1740787860,661,14215,0.0,0.0,0.0
1740787860,661,14221,12.6,12.8,13.2
1740787860,661,14223,63.5,64.4,65.8
1740787920,661,14211,1.0,1.0,1.0
1740787920,661,14215,0.0,0.0,0.0
1740787920,661,14221,11.8,12.1,12.7
1740787920,661,14223,57.7,59.5,61.1
1740787980,661,14211,1.0,1.0,1.0
1740787980,661,14215,0.0,0.0,0.0
1740787980,661,14221,10.6,11.1,11.7
1740787980,661,14223,60.0,60.5,62.5
1740788040,661,14211,1.0,1.0,1.0
1740788040,661,14215,0.0,0.0,0.0
1740788040,661,14221,11.5,11.7,12.6
1740788040,661,14223,60.1,61.7,63.4
1740788100,661,14211,1.0,1.0,1.0
1740788100,661,14215,0.0,0.0,0.0
1740788100,661,14221,10.2,10.8,11.4
1740788100,661,14223,58.1,58.9,59.7
1740788160,661,14211,1.0,1.0,1.0
1740788160,661,14215,0.0,0.0,0.0
1740788160,661,14221,11.0,11.8,12.4
1740788160,661,14223,56.8,57.4,59.1
1740788220,661,14211,1.0,1.0,1.0
1740788220,661,14215,0.0,0.0,0.0
1740788220,661,14221,10.8,11.3,11.8
1740788220,661,14223,60.3,61.1,62.9
1740788280,661,14211,1.0,1.0,1.0
1740788280,661,14215,0.0,0.0,0.0
1740788280,661,14221,11.4,12.1,12.7
1740788280,661,14223,61.7,62.9,63.8
1740788340,661,14211,1.0,1.0,1.0
1740788340,661,14215,0.0,0.0,0.0
1740788340,661,14221,11.4,12.0,12.4
1740788340,661,14223,62.2,62.8,64.9
1740788400,661,14211,1.0,1.0,1.0
1740788400,661,14215,0.0,0.0,0.0
1740788400,661,14221,11.9,12.2,12.3
1740788400,661,14223,57.5,59.4,59.8
1740788460,661,14211,1.0,1.0,1.0
1740788460,661,14215,0.0,0.0,0.0
1740788460,661,14221,12.2,12.6,12.9
1740788460,661,14223,57.4,58.2,60.9
1740788520,661,14211,1.0,1.0,1.0
1740788520,661,14215,0.0,0.0,0.0
1740788520,661,14221,12.5,13.0,13.6
1740788520,661,14223,57.4,59.0,60.0
1740788580,661,14211,1.0,1.0,1.0
1740788580,661,14215,0.0,0.0,0.0
1740788580,661,14221,12.4,13.1,13.8
1740788580,661,14223,59.0,60.6,61.6
1740788640,661,14211,1.0,1.0,1.0
1740788640,661,14215,0.0,0.0,0.0
1740788640,661,14221,10.9,11.5,12.1
1740788640,661,14223,56.8,58.6,59.7
1740788700,661,14211,1.0,1.0,1.0
1740788700,661,14215,0.0,0.0,0.0
1740788700,661,14221,12.3,13.2,13.8
1740788700,661,14223,61.3,62.4,63.7
1740788760,661,14211,1.0,1.0,1.0
1740788760,661,14215,0.0,0.0,0.0
1740788760,661,14221,11.7,12.2,12.6
1740788760,661,14223,64.1,65.6,67.0
1740788820,661,14211,1.0,1.0,1.0
1740788820,661,14215,0.0,0.0,0.0
1740788820,661,14221,11.0,11.9,12.4
1740788820,661,14223,65.0,66.1,67.2
1740788880,661,14211,1.0,1.0,1.0
1740788880,661,14215,0.0,0.0,0.0
1740788880,661,14221,10.4,11.3,11.5
1740788880,661,14223,63.0,64.2,65.8
1740788940,661,14211,1.0,1.0,1.0
1740788940,661,14215,0.0,0.0,0.0
1740788940,661,14221,9.8,10.1,11.3
1740788940,661,14223,61.9,62.6,64.0
1740789000,661,14211,1.0,1.0,1.0
1740789000,661,14215,0.0,0.0,0.0
1740789000,661,14221,11.8,12.6,13.1
1740789000,661,14223,57.4,58.7,59.9
1740789060,661,14211,1.0,1.0,1.0
1740789060,661,14215,0.0,0.0,0.0
1740789060,661,14221,12.1,12.6,13.4
1740789060,661,14223,57.3,58.3,58.5
1740789120,661,14211,1.0,1.0,1.0
1740789120,661,14215,0.0,0.0,0.0
1740789120,661,14221,11.3,11.8,12.4
1740789120,661,14223,62.5,63.8,65.1
1740789180,661,14211,1.0,1.0,1.0
1740789180,661,14215,0.0,0.0,0.0
1740789180,661,14221,11.5,11.8,12.3
1740789180,661,14223,57.1,59.2,60.6
1740789240,661,14211,1.0,1.0,1.0
1740789240,661,14215,0.0,0.0,0.0
1740789240,661,14221,11.5,12.1,12.4
1740789240,661,14223,58.1,59.2,60.0
1740789300,661,14211,1.0,1.0,1.0
1740789300,661,14215,0.0,0.0,0.0
1740789300,661,14221,11.3,12.0,12.2
1740789300,661,14223,60.5,61.9,63.5
1740789360,661,14211,1.0,1.0,1.0
1740789360,661,14215,0.0,0.0,0.0
1740789360,661,14221,11.1,11.6,11.6
1740789360,661,14223,65.6,65.8,67.3
1740789420,661,14211,1.0,1.0,1.0
1740789420,661,14215,0.0,0.0,0.0
1740789420,661,14221,11.0,11.3,11.7
1740789420,661,14223,64.1,65.1,65.9
1740789480,661,14211,1.0,1.0,1.0
1740789480,661,14215,0.0,0.0,0.0
1740789480,661,14221,13.1,13.3,13.9
1740789480,661,14223,61.6,61.8,62.9
